product_name,brands,brands_tags,categories,categories_tags,categories_en,origins,origins_tags,origins_en,countries,countries_tags,countries_en,image_url,image_ingredients_url,image_nutrition_url,energy-kcal_100g,fat_100g,saturated-fat_100g,unsaturated-fat_100g,omega-3-fat_100g,omega-6-fat_100g,omega-9-fat_100g,trans-fat_100g,cholesterol_100g,carbohydrates_100g,sugars_100g,sucrose_100g,glucose_100g,fructose_100g,lactose_100g,maltose_100g,fiber_100g,soluble-fiber_100g,insoluble-fiber_100g,proteins_100g,salt_100g,added-salt_100g,sodium_100g,alcohol_100g,vitamin-a_100g,beta-carotene_100g,vitamin-d_100g,vitamin-e_100g,vitamin-k_100g,vitamin-c_100g,vitamin-b1_100g,vitamin-b2_100g,vitamin-pp_100g,vitamin-b6_100g,vitamin-b9_100g,vitamin-b12_100g,bicarbonate_100g,potassium_100g,chloride_100g,calcium_100g,phosphorus_100g,iron_100g,magnesium_100g,zinc_100g,copper_100g,manganese_100g,fluoride_100g,selenium_100g,chromium_100g,molybdenum_100g,iodine_100g,caffeine_100g,cocoa_100g,carbon-footprint_100g,carbon-footprint-from-meat-or-fish_100g
bean stalk,,,,,,,,,en:Japan,en:japan,Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,en:Japan,en:japan,Japan,https://images.openfoodfacts.org/images/products/001/141/262/1288/front_ja.4.400.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ananas Scheiben,"Del Monte,Sainsburys","del-monte,sainsburys","Aliments et boissons à base de végétaux, Aliments d'origine végétale, Conserves, Aliments à base de fruits et de légumes, Aliments à base de plantes en conserve, Fruits et produits dérivés, Fruits, Fruits en conserve, Fruits tropicaux, Ananas, Fruits en conserve au jus, Ananas en conserve, Ananas au jus","en:plant-based-foods-and-beverages,en:plant-based-foods,en:canned-foods,en:fruits-and-vegetables-based-foods,en:canned-plant-based-foods,en:fruits-based-foods,en:fruits,en:canned-fruits,en:tropical-fruits,en:pineapple,en:canned-fruits-in-juice,en:canned-pineapples,en:pineapple-in-juice","Plant-based foods and beverages,Plant-based foods,Canned foods,Fruits and vegetables based foods,Canned plant-based foods,Fruits based foods,Fruits,Canned fruits,Tropical fruits,Pineapple,Canned fruits in juice,Canned pineapples,Pineapple in juice",,,,"Deutschland,Japan,Schweiz,Vereinigte Staaten von Amerika","en:germany,en:japan,en:switzerland,en:united-states","Germany,Japan,Switzerland,United States",https://images.openfoodfacts.org/images/products/002/400/000/1669/front_fr.4.400.jpg,https://images.openfoodfacts.org/images/products/002/400/000/1669/ingredients_fr.6.400.jpg,https://images.openfoodfacts.org/images/products/002/400/000/1669/nutrition_fr.9.400.jpg,53.0,0.0,0.0,,,,,0.0,0.0,14.04,12.28,,,,,,0.9,,,0.0,0.0225,,0.009,,0.0,,,,,0.0105,,,,,,,,,,0.0,,0.00032,,,,,,,,,,,,,
Potato chips,Lay's,lay-s,,,,,,,en:Japan,en:japan,Japan,https://images.openfoodfacts.org/images/products/002/840/001/4601/front_en.5.400.jpg,,,535.71,32.14,3.57,,,,,,,57.14,7.14,,,,,,3.57,,,7.14,1.3607,,0.54428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creamy Mashed Potatoes,Honest Earth,honest-earth,"Plant-based foods and beverages, Plant-based foods, Cereals and potatoes, Meals, Potato preparations, Purées, Mashed potatoes","en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:meals,en:potato-preparations,en:purees,en:mashed-potatoes","Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Meals,Potato preparations,Purées,Mashed potatoes",,,,"Japan,United States","en:japan,en:united-states","Japan,United States",https://images.openfoodfacts.org/images/products/002/970/000/1681/front_en.35.400.jpg,https://images.openfoodfacts.org/images/products/002/970/000/1681/ingredients_en.19.400.jpg,https://images.openfoodfacts.org/images/products/002/970/000/1681/nutrition_en.37.400.jpg,347.82608695652,4.3478260869565,0.0,,,,,0.0,0.0,73.913043478261,4.3478260869565,,,,,,8.695652173913,,,8.695652173913,2.9347826086958,,1.17391304347832,,0.0,,,,,,,,,,,,,0.29,,0.0,,,,,,,,,,,,,,,
,SPAM,spam,,,,,,,Japan,en:japan,Japan,https://images.openfoodfacts.org/images/products/003/760/054/2708/front_en.8.400.jpg,,,320.0,29.0,,,,,,,,2.0,,,,,,,,,,12.0,1.778,,0.7112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kelloggs breakfast cereal,Kellog's,kellog-s,"Plant-based foods and beverages, Plant-based foods, Breakfasts, Cereals and potatoes, Cereals and their products, Breakfast cereals, Flakes, Cereal flakes, Extruded cereals, Extruded flakes, Corn flakes","en:plant-based-foods-and-beverages,en:plant-based-foods,en:breakfasts,en:cereals-and-potatoes,en:cereals-and-their-products,en:breakfast-cereals,en:flakes,en:cereal-flakes,en:extruded-cereals,en:extruded-flakes,en:corn-flakes","Plant-based foods and beverages,Plant-based foods,Breakfasts,Cereals and potatoes,Cereals and their products,Breakfast cereals,Flakes,Cereal flakes,Extruded cereals,Extruded flakes,Corn flakes",,,,"Japan,United States","en:japan,en:united-states","Japan,United States",https://images.openfoodfacts.org/images/products/003/800/091/6106/front_en.41.400.jpg,https://images.openfoodfacts.org/images/products/003/800/091/6106/ingredients_en.22.400.jpg,https://images.openfoodfacts.org/images/products/003/800/091/6106/nutrition_en.46.400.jpg,351.35135135135,0.0,0.0,,,,,0.0,0.0,89.189189189189,32.432432432432,,,,,,2.7027027027027,,,5.4054054054054,1.2837837837838,,0.51351351351352,0.0,0.0005172,,2e-06,,,0.0207,0.001,0.001466,0.017241,0.001724,,5.17e-06,,0.121,,0.0,,0.01552,,,,,,,,,,,,,
Café froid caramel,Starbucks,starbucks,,,,,,,"France, Japan","en:france,en:japan","France,Japan",https://images.openfoodfacts.org/images/products/004/285/200/0098/front_en.3.400.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creamy Chicken & Dumplings,"Cambells, Campbell's Chunky","cambells,campbell-s-chunky","Canned foods, Meals, Meat-based-products, Meals with meat, Soups, Poultry meals, Reheatable soups, Canned meals, Meals with chicken, Canned soups, Chicken and vegetables soup","en:canned-foods,en:meats-and-their-products,en:meals,en:meals-with-meat,en:soups,en:poultry-meals,en:reheatable-soups,en:canned-meals,en:meals-with-chicken,en:canned-soups,en:chicken-and-vegetables-soup","Canned foods,Meats and their products,Meals,Meals with meat,Soups,Poultry meals,Reheatable soups,Canned meals,Meals with chicken,Canned soups,Chicken and vegetables soup",United States,en:united-states,United States,"Japan, Germany","en:germany,en:japan","Germany,Japan",https://images.openfoodfacts.org/images/products/005/100/014/2931/front_en.15.400.jpg,https://images.openfoodfacts.org/images/products/005/100/014/2931/ingredients_en.4.400.jpg,https://images.openfoodfacts.org/images/products/005/100/014/2931/nutrition_en.17.400.jpg,70.8333,3.75,0.8333,,,,,,,5.8333,0.4167,,,,,,6.0,,,2.9167,0.92708325,,0.3708333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garlic & butter flavored croutons,"T. Marzetti Company,T. Marzetti Co.","t-marzetti-company,t-marzetti-co","Plant-based foods and beverages, Plant-based foods, Cereals and potatoes, Breads, Croutons","en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:breads,en:croutons","Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Breads,Croutons",,,,Japan,en:japan,Japan,https://images.openfoodfacts.org/images/products/007/147/520/0554/front_en.9.400.jpg,https://images.openfoodfacts.org/images/products/007/147/520/0554/ingredients_en.10.400.jpg,https://images.openfoodfacts.org/images/products/007/147/520/0554/nutrition_en.11.400.jpg,500.0,21.4,0.0,,,,,0.0,0.0,57.1,0.0,,,,,,0.0,,,14.3,1.96,,0.786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
