product_name,brands,brands_tags,categories,categories_tags,categories_en,origins,origins_tags,origins_en,countries,countries_tags,countries_en,image_url,image_ingredients_url,image_nutrition_url,energy-kcal_100g,fat_100g,saturated-fat_100g,unsaturated-fat_100g,omega-3-fat_100g,omega-6-fat_100g,omega-9-fat_100g,trans-fat_100g,cholesterol_100g,carbohydrates_100g,sugars_100g,sucrose_100g,glucose_100g,fructose_100g,lactose_100g,maltose_100g,fiber_100g,soluble-fiber_100g,insoluble-fiber_100g,proteins_100g,salt_100g,added-salt_100g,sodium_100g,alcohol_100g,vitamin-a_100g,beta-carotene_100g,vitamin-d_100g,vitamin-e_100g,vitamin-k_100g,vitamin-c_100g,vitamin-b1_100g,vitamin-b2_100g,vitamin-pp_100g,vitamin-b6_100g,vitamin-b9_100g,vitamin-b12_100g,bicarbonate_100g,potassium_100g,chloride_100g,calcium_100g,phosphorus_100g,iron_100g,magnesium_100g,zinc_100g,copper_100g,manganese_100g,fluoride_100g,selenium_100g,chromium_100g,molybdenum_100g,iodine_100g,caffeine_100g,cocoa_100g,carbon-footprint_100g,carbon-footprint-from-meat-or-fish_100g
Nitroglycerin,,,,,,,,,en:Thailand,en:thailand,Thailand,https://images.openfoodfacts.org/images/products/00000111/front_en.3.400.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
To be deleted,,,en:To be deleted,en:to-be-deleted,To-be-deleted,,,,Thailand,en:thailand,Thailand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheese twist,"Marks & Spencer,มาร์คแอนด์สเปนเซอร์","marks-spencer,มาร์คแอนด์สเปนเซอร์","Snacks, Snacks salés, Snacks sucrés, Amuse-gueules, Biscuits et gâteaux, Biscuits, Biscuits apéritifs, Biscuits feuilletés","en:snacks,en:salty-snacks,en:sweet-snacks,en:appetizers,en:biscuits-and-cakes,en:biscuits,en:crackers,en:flaky-biscuits","Snacks,Salty snacks,Sweet snacks,Appetizers,Biscuits and cakes,Biscuits,Crackers,Flaky biscuits",,,,"France,Thailand","en:france,en:thailand","France,Thailand",https://images.openfoodfacts.org/images/products/00099233/front_fr.9.400.jpg,https://images.openfoodfacts.org/images/products/00099233/ingredients_fr.26.400.jpg,https://images.openfoodfacts.org/images/products/00099233/nutrition_fr.24.400.jpg,515.0,28.7,18.5,,,,,,,50.5,2.6,,,,,,3.3,,,12.1,1.825,,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pepperidge farm cookies,Pepperridge farm,pepperridge-farm,"Snacks, Sweet snacks, Biscuits and cakes, Biscuits, Chocolate biscuits","en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:biscuits,en:chocolate-biscuits","Snacks,Sweet snacks,Biscuits and cakes,Biscuits,Chocolate biscuits",,,,"en:france,en:united-kingdom,en:united-states,th:ประเทศไทย (Thai)","en:france,en:thailand,en:united-kingdom,en:united-states","France,Thailand,United Kingdom,United States",https://images.openfoodfacts.org/images/products/001/410/008/2033/front_en.15.400.jpg,,,419.0,16.13,9.68,,,,,0.0,0.032,67.74,38.71,,,,,,3.2,,,3.23,0.765,,0.306,,0.0,,,,,0.0,,,,,,,,,,0.0,,0.00348,,,,,,,,,,,,,
"Asian home gourmet, spice paste for indian butter chicken, mild",Asian Home Gourmet,asian-home-gourmet,"Condiments, Groceries","en:condiments,en:groceries","Condiments,Groceries",,,,"Australia, New Zealand, Singapore, Thailand, United States","en:australia,en:new-zealand,en:singapore,en:thailand,en:united-states","Australia,New Zealand,Singapore,Thailand,United States",https://images.openfoodfacts.org/images/products/001/520/572/0301/front_en.3.400.jpg,,,231.0,15.38,0.0,,,,,0.0,0.0,7.69,7.69,,,,,,7.7,,,7.69,8.27,,3.308,,0.0,,,,,0.0,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,
Crunchy Granola Bars,Nature valley,nature-valley,ขนม-ของว่าง,en:snacks,Snacks,,,,Thailand,en:thailand,Thailand,https://images.openfoodfacts.org/images/products/001/600/026/4502/front_th.12.400.jpg,https://images.openfoodfacts.org/images/products/001/600/026/4502/ingredients_th.14.400.jpg,https://images.openfoodfacts.org/images/products/001/600/026/4502/nutrition_th.15.400.jpg,905.0,33.3,4.76,,,,,,0.0,138.0,52.4,,,,,,9.52,,,14.3,2.14,,0.857,,,,,,,,,,,,,,,,,,,0.00343,,,,,,,,,,,,,
,Nature Valley,nature-valley,150,en:150,150,,,,"Thailand,United States","en:thailand,en:united-states","Thailand,United States",https://images.openfoodfacts.org/images/products/001/600/043/9801/front_en.41.400.jpg,https://images.openfoodfacts.org/images/products/001/600/043/9801/ingredients_en.37.400.jpg,,429.0,12.86,1.43,,,,,,,71.43,22.86,,,,,,5.71,,,8.57,0.46,,0.184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nature Valley Crunchy Oats 'n Dark Chocolate Granola Bar,"Nature Valley,General Mills","nature-valley,general-mills","Plant-based foods and beverages, Plant-based foods, Snacks, Cereals and potatoes, Sweet snacks, Cereals and their products, Bars, Cereal bars, Barra-de-granola, es:Barra-de-granola-con-chocolate-oscuro","en:plant-based-foods-and-beverages,en:plant-based-foods,en:snacks,en:cereals-and-potatoes,en:sweet-snacks,en:cereals-and-their-products,en:bars,en:cereal-bars,en:barra-de-granola,es:barra-de-granola-con-chocolate-oscuro","Plant-based foods and beverages,Plant-based foods,Snacks,Cereals and potatoes,Sweet snacks,Cereals and their products,Bars,Cereal bars,Barra-de-granola,es:barra-de-granola-con-chocolate-oscuro",,,,"Francia,México, United States, en:thailand","en:mexico,en:thailand,en:united-states,en:francia","Mexico,Thailand,United States,Francia",https://images.openfoodfacts.org/images/products/001/600/050/7258/front_en.37.400.jpg,https://images.openfoodfacts.org/images/products/001/600/050/7258/ingredients_en.35.400.jpg,https://images.openfoodfacts.org/images/products/001/600/050/7258/nutrition_en.30.400.jpg,190.0,19.05,3.57,,,,,0.0,0.0,69.05,28.57,,,,,,4.8,,,7.14,0.8925,,0.357,,0.0,,,,,0.0,,,,,,,,,,0.0,,0.00171,,,,,,,,,,,,,
Iced Party Rings,,,,,,,,,"France,Thailand","en:france,en:thailand","France,Thailand",https://images.openfoodfacts.org/images/products/00166782/front_fr.4.400.jpg,https://images.openfoodfacts.org/images/products/00166782/ingredients_fr.7.400.jpg,https://images.openfoodfacts.org/images/products/00166782/nutrition_fr.10.400.jpg,438.0,11.7,5.5,,,,,,,77.6,46.4,,,,,,,,,4.7,0.48,,0.192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Golden crunchy creams,Marks & Spencer,marks-spencer,,,,,,,"ประเทศฝรั่งเศส,ประเทศไทย (Thai)","en:france,en:thailand","France,Thailand",https://images.openfoodfacts.org/images/products/00166843/front_fr.4.400.jpg,https://images.openfoodfacts.org/images/products/00166843/ingredients_fr.7.400.jpg,,491.0,22.1,12.5,,,,,,,67.5,39.8,,,,,,,,,4.7,0.48,,0.192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
